date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,sunlight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2019-10-31,10.6,7.48,7.3,4,,,98,95,90,82,9.4,6.7,6.5,3.5,45,18.79,25.5,6,89,18,101.3,100.19,100.25,99.2,99.17,98.1,98.17,97.17,24100,8904.2,13250,2400,1.7,1.4,1.4,1.2,10.7,0,2.3,0.3,0,18.8,18.8,0,,07:51:00,18:11:00,10.33,7.85,18.18,1,1,12,12,1,1,,,,,,8,7.1,5.5,3,,,,
2019-10-30,9.2,7.65,7.69,6.2,,,97,86,80.5,64,7.8,5.4,5.2,2.5,26,18.46,18,10,37,5,102.6,102.22,101.95,101.3,100.48,100.1,99.86,99.23,24100,15816.7,15250,6400,2.2,1.8,1.8,1.4,10.3,0,2.7,0.7,0,20.6,20.6,0,,07:50:00,18:12:00,10.37,7.83,18.2,1,2,10,10,7,10,,,,,,8,7.5,7,6,,,,
2019-10-29,17.2,11.47,11.2,5.2,,,99,86.8,82,65,11.5,9.2,8.8,6.2,22,13.46,12.5,3,32,21,102.3,101.94,102,101.7,100.17,99.82,99.9,99.63,24100,15375,12250,400,3.1,2.9,2.8,2.6,6.8,0,6.2,4.2,1.2,0,0,0,,07:49:00,18:14:00,10.42,7.82,18.23,3,3,18,18,6,6,,,,,,8,5.7,4,0,,,,
2019-10-28,16.2,10.46,10.39,4.6,,,98,82.1,72.5,47,9.2,7.2,6.2,3.1,28,14.29,15.5,3,39,16,102,101.89,101.8,101.6,99.9,99.77,99.69,99.49,24100,22566.7,16900,9700,3.1,2.5,2.5,1.8,7.6,0,5.4,3.4,0.4,0,0,0,,07:48:00,18:15:00,10.45,7.8,18.25,3,3,15,15,7,8,,,,,,1,0.1,0.5,0,,,,
2019-10-27,13.3,11.62,10.19,7.1,,,99,89,88.5,78,12.9,9.8,10.3,7.7,33,24,23,13,67,27,101.5,100.66,100.75,100,99.44,98.59,98.69,97.94,24100,17954.2,15250,6400,2.1,1.7,1.6,1.2,7.8,0,5.2,3.2,0.2,25.8,25.8,0,,07:46:00,18:16:00,10.5,7.77,18.27,1,1,14,15,5,5,,,,,,8,7.2,4,0,,,,
2019-10-26,10.3,6.85,5.75,1.2,,,96,78.2,74.5,53,9.5,3.2,4.3,-0.9,31,18.67,16.5,2,50,8,102.5,102.17,101.85,101.2,100.4,100.04,99.76,99.13,24100,23566.7,20100,16100,2.5,2.1,2.2,1.9,12.2,0,0.8,0,0,9.2,9.2,0,,07:45:00,18:18:00,10.55,7.75,18.3,3,3,11,11,9,9,,,,,,8,5.2,4,0,,,,
2019-10-25,11.7,8.47,7.9,4.1,,,82,73.9,70.5,59,6,4.1,4,2,24,13.71,14,4,35,16,102.7,102.52,102.5,102.3,100.61,100.39,100.39,100.17,24100,24100,24100,24100,2.7,2.2,2.3,1.9,10.1,0,2.9,0.9,0,0,0,0,,07:44:00,18:19:00,10.58,7.73,18.32,2,2,12,12,0,1,,,,,,8,7.2,6,4,,,,
2019-10-24,14.4,10.76,9.1,3.8,,,79,63.2,66,53,7.4,4,4.2,1,28,19.46,17.5,7,42,18,102.7,102.1,102.15,101.6,100.59,99.98,100.03,99.47,24100,24100,24100,24100,2.6,2.3,2.4,2.2,8.9,0,4.1,2.1,0,0.6,0.6,0,,07:42:00,18:21:00,10.65,7.7,18.35,3,3,16,16,4,4,,,,,,8,6,5,2,,,,
2019-10-23,13.9,10.11,10.35,6.8,,,79,58.9,60.5,42,4.1,2.2,1.7,-0.7,31,22.33,23.5,16,54,23,101.7,101.21,101.25,100.8,99.63,99.12,99.16,98.69,24100,24100,24100,24100,2.7,2.2,2.2,1.8,7.7,0,5.3,3.4,0.4,0,0,0,,07:41:00,18:23:00,10.7,7.68,18.38,2,3,12,14,8,8,,,,,,7,2.2,3.5,0,,,,
2019-10-22,17.3,13.61,12.9,8.5,,,97,79.6,71.5,46,13.7,9.8,8.7,3.7,32,21.46,19.5,7,58,16,100.8,100.63,100.6,100.4,98.76,98.55,98.55,98.33,24100,20966.7,16900,9700,2.4,2.1,2.2,2,5.1,0,7.9,5.9,2.9,10.6,10.6,0,,07:40:00,18:24:00,10.73,7.67,18.4,2,2,15,16,6,6,,,,,,8,6.5,4.5,1,,,,
2019-10-21,15.8,11.84,10.6,5.4,,,95,81,80.5,66,10.2,8.6,8,5.7,35,23.62,23,11,61,8,101.9,101.53,101.35,100.8,99.81,99.43,99.28,98.75,24100,22833.3,20100,16100,3.2,2.7,2.7,2.2,7.4,0,5.6,3.6,0.6,1.4,1.4,0,,07:39:00,18:26:00,10.78,7.65,18.43,4,4,16,16,12,12,,,,,,8,4.7,4,0,,,,
2019-10-20,16.3,10.18,10.55,4.8,,,99,85.7,81.5,64,9.7,7.7,7.1,4.5,20,13.75,13,6,32,16,101.6,101.33,101.4,101.2,99.53,99.23,99.31,99.08,24100,21375,12650,1200,3.2,2.2,2.4,1.6,7.5,0,5.5,3.5,0.6,0,0,0,,07:37:00,18:27:00,10.83,7.62,18.45,3,3,18,18,5,5,,,,,,8,3.5,4,0,,,,
2019-10-19,11.8,6.89,6.55,1.3,,,94,81,78.5,63,6.8,3.8,3.6,0.4,21,13.46,11,1,37,16,101.9,101.7,101.65,101.4,99.77,99.57,99.51,99.25,24100,24100,24100,24100,2.2,2,2,1.8,11.4,0,1.6,0,0,0,0,0,,07:36:00,18:29:00,10.88,7.6,18.48,4,4,13,14,6,8,,,,,,7,3.5,3.5,0,,,,
2019-10-18,11.6,7.42,7.3,3,,,82,68.5,68.5,55,2.9,1.9,1.8,0.6,26,15.08,16.5,7,45,33,101.9,101.6,101.5,101.1,99.73,99.48,99.39,99.04,24100,24100,24100,24100,2.3,1.8,1.8,1.4,10.7,0,2.3,0.3,0,0,0,0,,07:35:00,18:30:00,10.92,7.58,18.5,4,4,12,12,1,1,,,,,,8,4.9,4.5,1,,,,
2019-10-17,8.7,7.82,7.65,6.6,,,93,79.3,82,71,7.6,4.4,5.3,3,53,33.83,33,13,68,33,101.1,100.38,100.45,99.8,99.02,98.29,98.36,97.69,24100,24100,24100,24100,1.8,1.4,1.4,1.1,10.3,0,2.6,0.6,0,0,0,0,,07:34:00,18:32:00,10.97,7.57,18.53,2,2,11,11,4,5,,,,,,8,7.5,7,6,,,,
2019-10-16,13.7,10.55,10,6.3,,,97,84.2,83.5,70,11.6,8,8.4,5.3,27,14.71,17.5,8,42,20,100.8,100.08,100.3,99.8,98.73,98,98.22,97.7,24100,20366.7,16900,9700,2.9,2.3,2.4,1.9,8,0,5,3,0,18.2,18.2,0,,07:32:00,18:34:00,11.03,7.53,18.57,1,3,11,14,6,7,,,,,,8,7.2,5,2,,,,
2019-10-15,14.5,9.5,8.55,2.6,,,83,68.5,67,51,8.5,3.8,4.7,0.9,22,14.79,13,4,45,16,102.1,101.72,101.5,100.9,99.93,99.6,99.39,98.85,24100,24100,24100,24100,2.4,2.1,2.1,1.8,9.4,0,3.5,1.6,0,0,0,0,,07:31:00,18:35:00,11.07,7.52,18.58,4,4,13,14,10,11,,,,,,8,4.6,4,0,,,,
2019-10-14,12.4,8.53,8.55,4.7,,,73,57.5,55,37,3.1,0.3,0.4,-2.4,31,15.88,18.5,6,45,29,101.9,101.49,101.5,101.1,99.78,99.38,99.38,98.98,24100,24100,24100,24100,2.1,1.7,1.8,1.4,9.4,0,3.5,1.6,0,0,0,0,,07:30:00,18:37:00,11.12,7.5,18.62,4,4,12,12,1,1,,,,,,8,5.3,4.5,1,,,,
2019-10-13,16.8,11.19,10.7,4.6,,,77,59.2,55.5,34,7.5,3.1,4,0.5,44,23.83,25.5,7,59,16,101.7,101.26,101.3,100.9,99.54,99.16,99.17,98.8,24100,24100,24100,24100,2.5,2.2,2.2,1.9,7.3,0,5.7,3.7,0.7,0,0,0,,07:29:00,18:39:00,11.17,7.48,18.65,4,4,16,16,5,5,,,,,,5,2.5,2.5,0,,,,
2019-10-12,15.6,11.25,9.94,4.3,,,98,70.7,73,48,12.4,5.8,6.7,1,31,17.42,19.5,8,42,27,101.7,101.42,101.4,101.1,99.58,99.31,99.29,99,24100,21229.2,15250,6400,2.3,2,1.8,1.4,8.1,0,4.9,2.9,0,4.2,4.2,0,,07:27:00,18:41:00,11.23,7.45,18.68,3,3,13,13,4,4,,,,,,8,5.3,4,0,,,,
2019-10-11,19.5,14.18,13.9,8.3,,,96,68.5,66.5,37,12.1,7.8,8.2,4.3,29,19.79,20.5,12,46,9,102.4,102.08,101.95,101.5,100.29,99.97,99.85,99.4,24100,24100,24100,24100,2.9,2.2,2.4,1.8,4.1,0,8.9,6.9,3.9,0,0,0,,07:26:00,18:42:00,11.27,7.43,18.7,4,4,18,18,11,12,,,,,,8,4.3,4,0,,,,
2019-10-10,16.8,12.27,11.95,7.1,,,95,77.2,75.5,56,10.3,8.2,7.8,5.2,39,19.17,22.5,6,50,7,102.8,102.6,102.6,102.4,100.63,100.48,100.47,100.31,24100,24100,24100,24100,2.2,1.9,1.9,1.6,6,0,7,5,2,0,0,0,,07:25:00,18:44:00,11.32,7.42,18.73,4,4,16,17,8,10,,,,,,5,1.4,2.5,0,,,,
2019-10-09,17.5,11.85,11.1,4.7,,,94,71.7,69.5,45,10.1,6.5,6.8,3.6,38,19.04,20,2,42,8,102.8,102.7,102.7,102.6,100.72,100.57,100.6,100.48,24100,24100,24100,24100,2.3,1.9,2,1.7,6.9,0,6.1,4.1,1.1,0,0,0,,07:24:00,18:46:00,11.37,7.4,18.77,4,4,17,18,5,5,,,,,,4,0.8,2,0,,,,
2019-10-08,17.6,11.94,12.3,7,,,84,69,64,44,9,6.1,6.4,3.8,24,13.71,13.5,3,39,15,102.8,102.62,102.6,102.4,100.64,100.5,100.45,100.26,24100,24100,24100,24100,2.8,2.2,2.4,2,5.7,0,7.3,5.3,2.3,0,0,0,,07:23:00,18:48:00,11.42,7.38,18.8,4,4,18,18,5,6,,,,,,1,0.5,0.5,0,,,,
2019-10-07,17.9,14.42,12.64,7.4,,,74,59.8,55.5,37,9.3,6.5,5.7,2.1,27,14.42,14,1,39,28,102.3,101.9,102,101.7,100.21,99.82,99.93,99.65,24100,24100,24100,24100,2.7,2.2,2.2,1.8,5.4,0,7.6,5.6,2.6,0,0,0,,07:21:00,18:49:00,11.47,7.35,18.82,3,3,18,18,4,4,,,,,,8,5.7,4,0,,,,
2019-10-06,20.9,15.83,16.54,12.2,,,95,76.8,75,55,15.4,11.7,11.5,7.6,31,18.42,18,5,46,19,101.8,101.61,101.65,101.5,99.74,99.52,99.56,99.37,24100,23766.7,20100,16100,2.7,2.1,2.2,1.7,1.5,0,11.5,9.5,6.5,1.8,1.8,0,,07:20:00,18:51:00,11.52,7.33,18.85,2,3,20,21,10,10,,,,,,8,6.8,6,4,,,,
2019-10-05,13.2,9.78,8.8,4.4,,,87,71.3,69.5,52,9.4,4.7,6,2.5,40,23.25,26.5,13,54,8,103.1,102.62,102.45,101.8,100.93,100.49,100.32,99.71,24100,24100,24100,24100,1.9,1.7,1.7,1.5,9.2,0,3.8,1.8,0,0,0,0,,07:19:00,18:53:00,11.57,7.32,18.88,5,5,15,15,13,13,,,,,,8,4.8,4,0,,,,
2019-10-04,11.5,8.82,7.95,4.4,,,97,76.6,79.5,62,10.4,4.8,6.7,2.9,20,13.67,14,8,41,4,103.1,102.62,102.4,101.7,100.95,100.48,100.24,99.54,24100,24100,24100,24100,2,1.6,1.6,1.1,10.1,0,3,1,0,0,0,0,,07:18:00,18:55:00,11.62,7.3,18.92,5,5,13,13,2,2,,,,,,7,3.9,3.5,0,,,,
2019-10-03,12,9.83,10.19,8.4,,,98,87,82.5,67,11.7,7.6,7.5,3.2,35,22.62,19,3,50,8,102.1,101.67,101.7,101.3,99.94,99.56,99.58,99.21,24100,17650,13650,3200,1.6,1.5,1.4,1.3,7.8,0,5.2,3.2,0.2,2.8,2.8,0,,07:17:00,18:56:00,11.65,7.28,18.93,2,3,13,13,5,5,,,,,,8,7.2,5.5,3,,,,
2019-10-02,19.4,14.83,14.25,9.1,,,96,88.7,83.5,71,18.6,12.9,11.4,4.3,37,20.92,21,5,50,7,102.1,101.47,101.55,101,99.98,99.4,99.49,98.99,24100,17525,14050,4000,1.9,1.3,1.4,1,3.8,0,9.2,7.2,4.2,10.2,10.2,0,,07:15:00,18:58:00,11.72,7.25,18.97,2,4,17,17,7,8,,,,,,8,7.4,6,4,,,,
2019-10-01,31.8,21.87,23.1,14.4,39,,97,82.4,73.5,50,21.9,18.4,17.9,13.9,35,17.21,22,9,55,30,101.6,101.24,101.3,101,99.52,99.19,99.25,98.99,24100,22495.8,14450,4800,3.4,2.3,2.5,1.6,0,5.1,18.1,16.1,13.1,12,12,0,,07:14:00,19:00:00,11.77,7.23,19,6,6,29,29,19,20,,,,,,8,5.4,4,0,,,,
2019-09-30,17.9,14.59,14.89,11.9,,,94,77.1,80,66,14.7,10.6,10.9,7.1,33,21.54,19,5,42,9,102.7,102.22,102.15,101.6,100.59,100.11,100.07,99.55,24100,24100,24100,24100,1.8,1.6,1.6,1.4,3.1,0,9.9,7.9,4.9,0,0,0,,07:13:00,19:02:00,11.82,7.22,19.03,3,6,18,18,15,16,,,,,,8,6.8,6,4,,,,
2019-09-29,14.2,12.17,11.75,9.3,,,92,69.8,71.5,51,11.4,6.6,7.2,3,35,23.38,23.5,12,52,7,103.1,102.87,102.85,102.6,100.99,100.74,100.72,100.45,24100,24100,24100,24100,1.7,1.4,1.4,1.1,6.2,0,6.8,4.8,1.8,0,0,0,,07:12:00,19:04:00,11.87,7.2,19.07,5,5,17,17,12,13,,,,,,8,5.1,4,0,,,,
2019-09-28,20.7,17.81,16.35,12,27,,94,85,84.5,75,18.4,15.2,15.1,11.8,23,14.04,15.5,8,35,33,102.5,101.63,101.75,101,100.39,99.56,99.69,98.98,24100,22833.3,16900,9700,2.6,2.2,2,1.5,1.6,0,11.3,9.3,6.3,3,3,0,,07:11:00,19:05:00,11.9,7.18,19.08,3,4,23,23,9,18,,,,,,8,5.5,4,0,,,,
2019-09-27,22.7,16.83,15.8,8.9,,,80,61.5,59.5,39,13.4,9,9.8,6.3,42,18.29,22,2,58,16,101.7,101.42,101.35,101,99.64,99.34,99.31,98.97,24100,24100,24100,24100,2.8,2.6,2.5,2.2,2.2,0,10.8,8.8,5.8,0,0,0,,07:10:00,19:07:00,11.95,7.17,19.12,4,5,22,22,18,18,,,,,,8,4.4,4,0,,,,
2019-09-26,22.8,17.37,16.89,11,,,88,65.4,64,40,14.8,10.4,10.1,5.3,35,18.21,20,5,58,28,101.5,100.87,101,100.5,99.44,98.82,98.96,98.47,24100,24100,24100,24100,3.1,2.5,2.7,2.3,1.1,0,11.9,9.9,6.9,3.2,3.2,0,,07:09:00,19:09:00,12,7.15,19.15,4,4,21,21,9,9,,,,,,8,4.6,4,0,,,,
2019-09-25,27.2,19.96,19.7,12.2,30,,81,61.2,60.5,40,16.1,11.9,12.4,8.7,43,22.83,23.5,4,68,19,101.1,100.77,100.8,100.5,99.06,98.72,98.76,98.47,24100,24100,24100,24100,3.5,2.6,2.7,1.9,0,1.7,14.7,12.7,9.7,0,0,0,,07:07:00,19:11:00,12.07,7.12,19.18,4,6,26,26,14,14,,,,,,7,5.1,3.5,0,,,,
2019-09-24,21.9,17.48,17.14,12.4,,,84,61.3,62,40,12.5,9.5,9.8,7.1,27,16.58,15.5,4,39,33,101.4,101.17,101.2,101,99.28,99.09,99.09,98.9,24100,24100,24100,24100,2.5,1.9,2,1.4,0.9,0,12.1,10.1,7.1,0,0,0,,07:06:00,19:13:00,12.12,7.1,19.22,6,6,20,20,14,14,,,,,,6,2.9,3,0,,,,
2019-09-23,25.2,21.55,20.05,14.9,30,,84,68.5,68,52,18.9,15.4,15.1,11.3,34,22.54,22.5,11,52,30,101,100.78,100.8,100.6,98.93,98.74,98.76,98.58,24100,23900,21700,19300,3,2.4,2.5,1.9,0,2,15.1,13.1,10.1,0.2,0.2,0,,07:05:00,19:15:00,12.17,7.08,19.25,4,6,24,25,13,13,,,,,,8,6,4.5,1,,,,
2019-09-22,31.3,25.33,26.05,20.8,35,,86,62.6,63,40,19.6,17.1,16.6,13.7,44,23,27.5,11,59,20,101.8,101.43,101.35,100.9,99.79,99.39,99.33,98.88,24100,23700,21700,19300,3.7,3.2,3.3,2.9,0,8.1,21.1,19.1,16.1,0,0,0,,07:04:00,19:16:00,12.2,7.07,19.27,6,6,27,31,19,20,,,,,,8,5,4,0,,,,
2019-09-21,26.9,21.61,21.79,16.7,32,,91,75.9,73.5,56,18.6,17,17,15.4,25,13.92,13.5,2,41,17,102.3,102.09,102.1,101.9,100.2,100.01,100.01,99.82,24100,23500,21700,19300,3.9,3.3,3.3,2.7,0,3.8,16.8,14.8,11.8,0,0,0,,07:03:00,19:18:00,12.25,7.05,19.3,6,6,27,27,16,18,,,,,,7,3.2,3.5,0,,,,
2019-09-20,24.9,18.98,18.64,12.4,29,,93,76.5,75.5,58,16.3,14.6,14.1,11.9,23,13.29,13,3,39,15,102.3,102.21,102.2,102.1,100.22,100.12,100.11,99.99,24100,22700,20100,16100,4.1,3,3.2,2.4,0,0.6,13.6,11.6,8.6,0,0,0,,07:02:00,19:20:00,12.3,7.03,19.33,6,6,26,26,14,14,,,,,,7,4.4,3.5,0,,,,
2019-09-19,23.4,18.58,19.25,15.1,25,,85,71,67.5,50,14.1,13.1,12.6,11.1,25,12.29,15,5,41,16,102.5,102.4,102.4,102.3,100.42,100.3,100.3,100.18,24100,24100,24100,24100,3,2.4,2.4,1.8,0,1.2,14.2,12.2,9.2,0,0,0,,07:01:00,19:22:00,12.35,7.02,19.37,6,6,24,24,13,14,,,,,,7,4.3,3.5,0,,,,
2019-09-18,22.6,17.95,17.55,12.5,,,78,64.7,62,46,13.5,11,11.4,9.3,18,12.17,10,2,37,15,102.6,102.48,102.45,102.3,100.47,100.38,100.36,100.25,24100,24100,24100,24100,2.7,2.4,2.5,2.2,0.4,0,12.6,10.6,7.5,0,0,0,,06:59:00,19:24:00,12.42,6.98,19.4,6,6,22,23,10,12,,,,,,7,3.5,4,1,,,,
2019-09-17,22.9,17.26,16.89,10.9,25,,95,68.7,69.5,44,13.4,10.9,10.9,8.5,27,11.54,14.5,2,37,15,102.5,102.3,102.35,102.2,100.35,100.2,100.2,100.06,24100,24100,24100,24100,2.6,2.1,2.1,1.7,1.1,0,11.9,9.9,6.9,0,0,0,,06:58:00,19:26:00,12.47,6.97,19.43,6,6,23,23,9,9,,,,,,3,1.1,1.5,0,,,,
2019-09-16,18.5,16.27,15.6,12.7,,,88,82.5,78,68,15.2,13.3,13,10.8,28,18.83,20.5,13,37,8,102.1,101.99,102,101.9,100.05,99.91,99.94,99.83,24100,23900,21700,19300,2.2,1.8,1.8,1.5,2.4,0,10.6,8.6,5.6,0.2,0.2,0,,06:57:00,19:27:00,12.5,6.95,19.45,4,6,22,22,9,12,,,,,,8,7.5,4.5,1,,,,
2019-09-15,17.5,14.99,14.6,11.7,,,92,82.5,80.5,69,14.7,12.1,12.2,9.6,22,11.88,12,2,,,102.3,102.07,102.1,101.9,100.16,99.98,100,99.84,24100,22766.7,16900,9700,2.6,2,2.2,1.8,3.4,0,9.6,7.6,4.6,4.4,4.4,0,,06:56:00,19:29:00,12.55,6.93,19.48,2,4,20,20,13,13,,,,,,8,6,4,0,,,,
2019-09-14,22.6,18.97,18,13.4,27,,92,67.5,68.5,45,18.7,12.5,13.8,8.9,39,19.79,21.5,4,52,28,102.1,101.9,101.85,101.6,100.04,99.81,99.8,99.55,24100,24100,24100,24100,2.6,1.9,2,1.5,0,0,13,11,8,0,0,0,,06:55:00,19:31:00,12.6,6.92,19.52,5,6,22,22,10,10,,,,,,8,3.9,4,0,,,,
2019-09-13,22.1,17.65,17.64,13.2,28,,95,80.2,81,67,18,14.2,14.1,10.2,29,22.04,22,15,55,19,102.7,102.2,102.15,101.6,100.59,100.09,100.05,99.51,24100,23900,21700,19300,1.9,1.6,1.6,1.4,0.4,0,12.6,10.6,7.6,5.6,5.6,0,,06:54:00,19:33:00,12.65,6.9,19.55,5,6,22,22,15,15,,,,,,8,7,5.5,3,,,,
2019-09-12,19.8,16.55,16.55,13.3,,,93,75.7,75,57,17.6,12.1,13.8,10.1,33,21,21.5,10,45,9,102.7,102.35,102.3,101.9,100.6,100.27,100.21,99.82,24100,23366.7,20100,16100,1.9,1.5,1.5,1.1,1.4,0,11.6,9.6,6.5,0.8,0.8,0,,06:53:00,19:35:00,12.7,6.88,19.58,6,6,20,20,12,12,,,,,,8,6.2,4.5,1,,,,
2019-09-11,28.9,23.01,23.2,17.5,35,,99,80.2,75.5,52,21.4,19.1,19.4,17.5,22,12.71,12.5,3,32,5,102,101.85,101.85,101.7,99.88,99.78,99.76,99.65,24100,23033.3,20100,16100,3.6,3,2.8,1.9,0,5.2,18.2,16.2,13.2,1,1,0,,06:52:00,19:37:00,12.75,6.87,19.62,7,7,28,28,17,18,,,,,,8,5.4,4,0,,,,
